handle,label,chain,networkId,realPoints,stepsReturned,serviceCount,firstRealAt,firstRealUsd,lastRealAt,lastRealUsd,spanDays,chainLatestUsd,shareOfHoldings,chainPricedShare,chainReasonInAllChainsAnswer,status,drawable,usablePoints,drawingReason,answerRefused,pointRefusalReasons,trackedSince,basisOfRealPoints,chainsHeldByTrader,failed
unipcs,Unipcs,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,15665318.55,2026-09-10T16:00:00.000Z,15665318.55,0,15665318.55,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,3,
unipcs,Unipcs,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,602947.54,2026-09-10T16:00:00.000Z,10857235.75,28,10857235.75,0.6931,0.6879,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,3,
unipcs,Unipcs,solana,1399811149,1,1,1,2026-09-10T16:00:00.000Z,4789577.48,2026-09-10T16:00:00.000Z,4789577.48,0,4789577.48,0.3057,0.6341,,warming,false,1,warming,,,2026-09-10T16:00:00.000Z,sampled x1,3,
unipcs,Unipcs,ethereum,1,5,28,28,2026-08-28T00:00:00.000Z,6.07,2026-09-10T16:00:00.000Z,18505.32,14,18505.32,0.0012,0.75,,warming,false,5,short_coverage,,(no reason given) x23,2026-09-10T16:00:00.000Z,rebuilt x4; sampled x1,3,
ogle,ogle,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,8666724.14,2026-09-10T16:00:00.000Z,8666724.14,0,8666724.14,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,5,
ogle,ogle,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,103491.71,2026-09-10T16:00:00.000Z,8653501.66,28,8653501.66,0.9985,0.8929,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,5,
ogle,ogle,solana,1399811149,1,1,1,2026-09-10T16:00:00.000Z,9300.19,2026-09-10T16:00:00.000Z,9300.19,0,9300.19,0.0011,0.9333,,warming,false,1,warming,,,2026-09-10T16:00:00.000Z,sampled x1,5,
ogle,ogle,bsc,56,6,28,28,2026-09-04T00:00:00.000Z,120.53,2026-09-10T16:00:00.000Z,3919.22,7,3919.22,0.0005,0.8571,,warming,false,6,short_coverage,,(no reason given) x21; no_prices x1,2026-09-10T16:00:00.000Z,rebuilt x5; sampled x1,5,
ogle,ogle,ethereum,1,5,28,28,2026-08-17T00:00:00.000Z,6.04,2026-09-10T16:00:00.000Z,3.08,25,3.08,0.0000,1,,warming,false,5,short_coverage,,(no reason given) x23,2026-09-10T16:00:00.000Z,rebuilt x4; sampled x1,5,
ogle,ogle,base,8453,1,28,28,2026-09-09T00:00:00.000Z,41.63,2026-09-09T00:00:00.000Z,41.63,0,,,0,no_prices,ready,false,1,no_prices,no_prices,(no reason given) x26; no_prices x1,2026-09-10T16:00:00.000Z,rebuilt x1,5,
DumbCrayonEater,DumbCrayonEater,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,7242045.91,2026-09-10T16:00:00.000Z,7242045.91,0,7242045.91,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,4,
DumbCrayonEater,DumbCrayonEater,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,834686.68,2026-09-10T16:00:00.000Z,6955732.60,28,6955732.60,0.9605,0.8833,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,4,
DumbCrayonEater,DumbCrayonEater,bsc,56,13,28,28,2026-08-19T00:00:00.000Z,265840.37,2026-09-10T16:00:00.000Z,173971.23,23,173971.23,0.0240,0.875,,warming,false,13,short_coverage,,(no reason given) x15,2026-09-10T16:00:00.000Z,rebuilt x12; sampled x1,4,
DumbCrayonEater,DumbCrayonEater,solana,1399811149,1,1,1,2026-09-10T16:00:00.000Z,112300.39,2026-09-10T16:00:00.000Z,112300.39,0,112300.39,0.0155,0.8743,,warming,false,1,warming,,,2026-09-10T16:00:00.000Z,sampled x1,4,
DumbCrayonEater,DumbCrayonEater,ethereum,1,9,28,28,2026-08-20T00:00:00.000Z,15.83,2026-09-10T16:00:00.000Z,41.69,22,41.69,0.0000,0.6667,,warming,false,9,short_coverage,,(no reason given) x19,2026-09-10T16:00:00.000Z,rebuilt x8; sampled x1,4,
pointfarmcap,point farm capital,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,7241774.08,2026-09-10T16:00:00.000Z,7241774.08,0,7241774.08,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,3,
pointfarmcap,point farm capital,solana,1399811149,1,1,1,2026-09-10T16:00:00.000Z,7240057.84,2026-09-10T16:00:00.000Z,7240057.84,0,7240057.84,0.9998,0.467,,warming,false,1,warming,,,2026-09-10T16:00:00.000Z,sampled x1,3,
pointfarmcap,point farm capital,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,0.98,2026-09-10T16:00:00.000Z,1714.58,28,1714.58,0.0002,1,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,3,
pointfarmcap,point farm capital,bsc,56,8,28,28,2026-08-21T00:00:00.000Z,1.59,2026-09-10T16:00:00.000Z,1.66,21,1.66,0.0000,1,,warming,false,8,short_coverage,,(no reason given) x20,2026-09-10T16:00:00.000Z,rebuilt x7; sampled x1,3,
Salem1299534,Salem,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,5324917.52,2026-09-10T16:00:00.000Z,5324917.52,0,5324917.52,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,5,
Salem1299534,Salem,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,376826.67,2026-09-10T16:00:00.000Z,5322314.07,28,5322314.07,0.9995,1,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,5,
Salem1299534,Salem,solana,1399811149,1,1,1,2026-09-10T16:00:00.000Z,1683.70,2026-09-10T16:00:00.000Z,1683.70,0,1683.70,0.0003,0.898,,warming,false,1,warming,,,2026-09-10T16:00:00.000Z,sampled x1,5,
Salem1299534,Salem,bsc,56,5,28,28,2026-08-17T00:00:00.000Z,0.02,2026-09-10T16:00:00.000Z,905.94,25,905.94,0.0002,0.5,,warming,false,5,short_coverage,,(no reason given) x18; no_prices x5,2026-09-10T16:00:00.000Z,rebuilt x4; sampled x1,5,
Salem1299534,Salem,base,8453,18,28,28,2026-08-16T00:00:00.000Z,0.07,2026-09-10T16:00:00.000Z,10.37,26,10.37,0.0000,1,,warming,false,18,short_coverage,,(no reason given) x10,2026-09-10T16:00:00.000Z,rebuilt x17; sampled x1,5,
Salem1299534,Salem,ethereum,1,4,28,28,2026-09-01T00:00:00.000Z,1.36,2026-09-10T16:00:00.000Z,3.45,10,3.45,0.0000,1,,warming,false,4,short_coverage,,(no reason given) x23; no_prices x1,2026-09-10T16:00:00.000Z,rebuilt x3; sampled x1,5,
theveeman,Vee,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,4871751.62,2026-09-10T16:00:00.000Z,4871751.62,0,4871751.62,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,5,
theveeman,Vee,solana,1399811149,1,1,1,2026-09-10T16:00:00.000Z,3445931.75,2026-09-10T16:00:00.000Z,3445931.75,0,3445931.75,0.7073,0.8281,,warming,false,1,warming,,,2026-09-10T16:00:00.000Z,sampled x1,5,
theveeman,Vee,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,196376.27,2026-09-10T16:00:00.000Z,1073463.65,28,1073463.65,0.2203,1,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,5,
theveeman,Vee,bsc,56,15,28,28,2026-08-21T00:00:00.000Z,51.16,2026-09-10T16:00:00.000Z,254376.64,21,254376.64,0.0522,0.8889,,warming,false,15,short_coverage,,(no reason given) x11; no_prices x2,2026-09-10T16:00:00.000Z,rebuilt x14; sampled x1,5,
theveeman,Vee,base,8453,13,28,28,2026-08-25T00:00:00.000Z,2986.02,2026-09-10T16:00:00.000Z,97973.19,17,97973.19,0.0201,0.75,,warming,false,13,short_coverage,,(no reason given) x15,2026-09-10T16:00:00.000Z,rebuilt x12; sampled x1,5,
theveeman,Vee,ethereum,1,7,28,28,2026-08-19T00:00:00.000Z,10.07,2026-09-10T16:00:00.000Z,6.39,23,6.39,0.0000,1,,warming,false,7,short_coverage,,(no reason given) x21,2026-09-10T16:00:00.000Z,rebuilt x6; sampled x1,5,
AvgJoesCrypto,AJC,(all chains),,1,28,28,2026-09-10T16:00:00.000Z,4433892.49,2026-09-10T16:00:00.000Z,4433892.49,0,4433892.49,,,,ready,false,1,too_few_points,,chains_unrebuildable x27,2026-09-10T16:00:00.000Z,sampled x1,5,
AvgJoesCrypto,AJC,robinhood,4663,28,28,28,2026-08-14T00:00:00.000Z,303528.95,2026-09-10T16:00:00.000Z,4169849.35,28,4169849.35,0.9404,0.9792,,warming,false,28,short_coverage,,,2026-09-10T16:00:00.000Z,rebuilt x27; sampled x1,5,
AvgJoesCrypto,AJC,solana,1399811149,1,1,1,2026-09-10T16:00:00.000Z,205997.06,2026-09-10T16:00:00.000Z,205997.06,0,205997.06,0.0465,0.8679,,warming,false,1,warming,,,2026-09-10T16:00:00.000Z,sampled x1,5,
AvgJoesCrypto,AJC,ethereum,1,12,28,28,2026-08-20T00:00:00.000Z,25639.94,2026-09-10T16:00:00.000Z,58004.89,22,58004.89,0.0131,1,,warming,false,12,short_coverage,,(no reason given) x16,2026-09-10T16:00:00.000Z,rebuilt x11; sampled x1,5,
AvgJoesCrypto,AJC,bsc,56,3,28,28,2026-09-04T00:00:00.000Z,0.62,2026-09-10T16:00:00.000Z,28.97,7,28.97,0.0000,1,,warming,false,3,short_coverage,,(no reason given) x24; no_prices x1,2026-09-10T16:00:00.000Z,rebuilt x2; sampled x1,5,
